	individual	replicate	well	batch	sample_id
322	NA19101	r3	C10	NA19101.r3	NA19101.r3.C10
323	NA19101	r3	C11	NA19101.r3	NA19101.r3.C11
324	NA19101	r3	D03	NA19101.r3	NA19101.r3.D03
325	NA19101	r3	D06	NA19101.r3	NA19101.r3.D06
326	NA19101	r3	D08	NA19101.r3	NA19101.r3.D08
327	NA19101	r3	D10	NA19101.r3	NA19101.r3.D10
328	NA19101	r3	D12	NA19101.r3	NA19101.r3.D12
329	NA19101	r3	E02	NA19101.r3	NA19101.r3.E02
330	NA19101	r3	E03	NA19101.r3	NA19101.r3.E03
331	NA19101	r3	E04	NA19101.r3	NA19101.r3.E04
332	NA19101	r3	E06	NA19101.r3	NA19101.r3.E06
333	NA19101	r3	E07	NA19101.r3	NA19101.r3.E07
334	NA19101	r3	E09	NA19101.r3	NA19101.r3.E09
335	NA19101	r3	F01	NA19101.r3	NA19101.r3.F01
336	NA19101	r3	F02	NA19101.r3	NA19101.r3.F02
337	NA19101	r3	F03	NA19101.r3	NA19101.r3.F03
338	NA19101	r3	F05	NA19101.r3	NA19101.r3.F05
339	NA19101	r3	F07	NA19101.r3	NA19101.r3.F07
340	NA19101	r3	F08	NA19101.r3	NA19101.r3.F08
341	NA19101	r3	F10	NA19101.r3	NA19101.r3.F10
342	NA19101	r3	F11	NA19101.r3	NA19101.r3.F11
343	NA19101	r3	F12	NA19101.r3	NA19101.r3.F12
344	NA19101	r3	G01	NA19101.r3	NA19101.r3.G01
345	NA19101	r3	G03	NA19101.r3	NA19101.r3.G03
346	NA19101	r3	G05	NA19101.r3	NA19101.r3.G05
347	NA19101	r3	G06	NA19101.r3	NA19101.r3.G06
348	NA19101	r3	G07	NA19101.r3	NA19101.r3.G07
349	NA19101	r3	G08	NA19101.r3	NA19101.r3.G08
350	NA19101	r3	G10	NA19101.r3	NA19101.r3.G10
351	NA19101	r3	G11	NA19101.r3	NA19101.r3.G11
352	NA19101	r3	G12	NA19101.r3	NA19101.r3.G12
353	NA19101	r3	H05	NA19101.r3	NA19101.r3.H05
354	NA19101	r3	H08	NA19101.r3	NA19101.r3.H08
355	NA19239	r1	A01	NA19239.r1	NA19239.r1.A01
356	NA19239	r1	A03	NA19239.r1	NA19239.r1.A03
357	NA19239	r1	A05	NA19239.r1	NA19239.r1.A05
358	NA19239	r1	A06	NA19239.r1	NA19239.r1.A06
359	NA19239	r1	A08	NA19239.r1	NA19239.r1.A08
360	NA19239	r1	A09	NA19239.r1	NA19239.r1.A09
361	NA19239	r1	A10	NA19239.r1	NA19239.r1.A10
362	NA19239	r1	B02	NA19239.r1	NA19239.r1.B02
363	NA19239	r1	B03	NA19239.r1	NA19239.r1.B03
364	NA19239	r1	B05	NA19239.r1	NA19239.r1.B05
365	NA19239	r1	B06	NA19239.r1	NA19239.r1.B06
