NA19098	NA19101	NA19239
C1orf54	GPR107	ZBTB48
AFTPH	EIF1AD	INTS9
TCFL5	WDSUB1	SRSF11
OTX2	SEC61B	BCAR1
PLAG1	CORO2A	ZSWIM6
FAM50A	RPS6KA3	RNF166
LRIG2	TRIP10	OSBPL3
TMEM66	ITSN2	GLO1
AKR1C3	NLGN4Y	ZBTB1
TTC5	SBNO2	POP5
FHL3	AP2B1	EEF1E1
AGAP1	SVIP	MSMO1
PRKCSH	VSIG10	DDX49
FGF19	TSR1	ARHGAP21
CCDC142	MICALL1	NDUFAF6
CALU	BHLHB9	CXCL6
ETAA1	GNG10	ISG15
ZNF793	ADAL	GOT2
CAT	TFAP4	RGS3
CHD9	FAM73B	KIF23
TIMM8A	EHD2	ZFP62
NGLY1	SYPL1	ZSCAN12
SLC35B2	PHF3	PSMB8
RPS6KL1	CD9	CD81
DTNBP1	SCP2	VOPP1
MVD	ATG5	HIBADH
MYO1B	HTR7	HELZ
JAK1	ZNF616	C1orf94
INSIG2	TMEM181	ACSL4
EPG5	TTC27	PTDSS1
CCDC136	CNKSR2	PTCH1
VPS33A	LSM14A	AP3S2
CREM	COG3	CDC7
TNNT1	CCBL1	GPR63
SH2D3A	CALU	ST6GALNAC2
PRMT3	TTC33	EHD2
CCP110	SUZ12	TLE2
FSD1L	DOT1L	METTL14
NIPA2	BEND3	KIAA1279
MRC2	SEPHS2	SLC35E1
KSR1	OGFR	CMTR2
MYL6B	DDR1	MARC2
C9orf69	NUDT1	RPS15
PRKAB1	TMEM185B	IFT27
BRWD3	HAT1	ZNF12
DPP3	PHLDB2	SYT13
TCERG1	KIAA0195	CYP2U1
QTRT1	LENG8	SON
NPLOC4	MED19	PSMC5
LRRC47	YWHAE	PRKDC
PRMT10	USP31	PPHLN1
ZNF10	RNF40	MICAL1
C1orf86	SRSF9	NAB2
GAB1	CBLB	PPCDC
TMC6	TCP1	FER
WDTC1	AQP11	PHKA2
BBIP1	ZNF320	RAPGEF5
RNF122	PLCH1	PHTF2
MTMR1	GLO1	SPATS2
C17orf58	VSIG10L	EPS8
ST3GAL6	PCBD2	CTTNBP2
TMEM180	FERMT1	PCGF1
